ID,Year,State,Crop_Type,Rainfall (mm),Soil_Type,Irrigation_Area (ha),Crop_Yield (kg/ha)
4745,2008,Punjab,Wheat,459,Loamy,133,3290
4746,2000,Punjab,Wheat,572,Loamy,140,3734
4747,2008,Punjab,Wheat,465,Loamy,110,3230
4748,2003,Punjab,Rice,936,Alluvial,173,2613
4749,2019,Punjab,Bajra,460,Alluvial,61,2530
4750,2008,Punjab,Bajra,557,Loamy,87,2516
4751,2005,Punjab,Rice,861,Loamy,164,2918
4752,2003,Punjab,Rice,851,Loamy,124,3183
4753,2018,Punjab,Bajra,406,Loamy,55,2357
4754,2014,Punjab,Wheat,640,Loamy,153,3874
4755,2019,Punjab,Bajra,503,Loamy,97,2636
4756,2008,Punjab,Rice,913,Alluvial,133,2615
4757,2008,Punjab,Rice,858,Alluvial,101,2783
4758,2004,Punjab,Rice,827,Alluvial,126,2508
4759,2009,Punjab,Bajra,342,Loamy,100,2678
4760,2013,Punjab,Wheat,642,Loamy,107,3851
4761,2015,Punjab,Wheat,533,Alluvial,152,3042
4762,2006,Punjab,Bajra,371,Loamy,96,2634
4763,2000,Punjab,Wheat,604,Loamy,119,3534
4764,2009,Punjab,Rice,913,Alluvial,109,2885
4765,2011,Punjab,Bajra,510,Alluvial,50,2438
4766,2014,Punjab,Rice,984,Loamy,130,3457
4767,2018,Punjab,Bajra,585,Loamy,71,2454
4768,2010,Punjab,Bajra,413,Loamy,86,2742
4769,2002,Punjab,Bajra,396,Loamy,72,2589
4770,2008,Punjab,Bajra,494,Loamy,85,2025
4771,2012,Punjab,Rice,921,Loamy,156,3124
4772,2000,Punjab,Bajra,531,Alluvial,87,2084
4773,2012,Punjab,Wheat,558,Alluvial,164,3026
4774,2004,Punjab,Bajra,570,Loamy,53,2713
4775,2009,Punjab,Rice,869,Loamy,109,3020
4776,2009,Punjab,Wheat,597,Loamy,173,3959
4777,2007,Punjab,Rice,943,Loamy,149,3453
4778,2007,Punjab,Rice,822,Loamy,164,2889
4779,2001,Punjab,Bajra,395,Loamy,87,2679
4780,2008,Punjab,Bajra,365,Loamy,56,2014
4781,2019,Punjab,Wheat,664,Loamy,144,3138
4782,2008,Punjab,Bajra,438,Loamy,57,2445
4783,2011,Punjab,Rice,982,Loamy,124,3131
4784,2001,Punjab,Rice,970,Alluvial,137,2872
4785,2006,Punjab,Rice,822,Alluvial,108,3198
4786,2007,Punjab,Rice,835,Loamy,165,2876
4787,2013,Punjab,Bajra,500,Loamy,80,2217
4788,2014,Punjab,Bajra,382,Alluvial,74,1934
4789,2015,Punjab,Wheat,628,Alluvial,117,2778
4790,2017,Punjab,Wheat,475,Alluvial,119,2747
4791,2009,Punjab,Rice,835,Loamy,137,3249
4792,2007,Punjab,Rice,997,Loamy,117,2863
4793,2013,Punjab,Rice,943,Alluvial,106,2668
4794,2018,Punjab,Wheat,523,Alluvial,151,2824
4795,2001,Punjab,Rice,894,Alluvial,160,2664
4796,2018,Punjab,Bajra,542,Alluvial,93,2646
4797,2012,Punjab,Bajra,433,Loamy,52,2278
4798,2019,Punjab,Bajra,363,Loamy,92,2578
4799,2002,Punjab,Rice,810,Loamy,171,3466
4800,2008,Punjab,Wheat,511,Loamy,153,3198
4801,2011,Punjab,Bajra,592,Loamy,69,2655
4802,2008,Punjab,Rice,899,Loamy,141,3474
4803,2016,Punjab,Rice,800,Alluvial,100,3187
4804,2006,Punjab,Rice,927,Alluvial,110,3077
4805,2007,Punjab,Rice,937,Alluvial,139,2841
4806,2020,Punjab,Rice,877,Loamy,123,3157
4807,2009,Punjab,Bajra,464,Loamy,73,2823
4808,2006,Punjab,Bajra,530,Loamy,61,2277
4809,2009,Punjab,Rice,854,Loamy,149,3076
4810,2000,Punjab,Wheat,478,Alluvial,113,2817
4811,2020,Punjab,Bajra,331,Alluvial,75,2193
4812,2017,Punjab,Rice,825,Loamy,100,3101
4813,2019,Punjab,Wheat,619,Loamy,158,3089
4814,2004,Punjab,Bajra,542,Loamy,81,2295
4815,2009,Punjab,Wheat,573,Loamy,136,3077
4816,2012,Punjab,Wheat,544,Loamy,136,3557
4817,2017,Punjab,Rice,952,Alluvial,170,2982
4818,2014,Punjab,Rice,930,Loamy,123,3465
4819,2007,Punjab,Rice,800,Loamy,127,3075
4820,2019,Punjab,Wheat,581,Alluvial,147,3480
4821,2016,Punjab,Wheat,430,Loamy,101,3313
4822,2010,Punjab,Rice,815,Loamy,159,2813
4823,2009,Punjab,Rice,805,Loamy,125,3471
4824,2008,Punjab,Wheat,652,Loamy,176,3112
4825,2008,Punjab,Wheat,552,Loamy,112,3650
4826,2010,Punjab,Bajra,354,Alluvial,52,2413
4827,2017,Punjab,Wheat,411,Loamy,127,3576
4828,2009,Punjab,Bajra,306,Loamy,51,2409
4829,2020,Punjab,Wheat,435,Loamy,179,3845
4830,2017,Punjab,Rice,939,Loamy,165,2951
4831,2010,Punjab,Bajra,340,Loamy,86,2391
4832,2003,Punjab,Rice,992,Alluvial,107,3023
4833,2004,Punjab,Rice,970,Loamy,106,2842
4834,2004,Punjab,Bajra,386,Loamy,60,2121
4835,2013,Punjab,Rice,893,Loamy,127,3074
4836,2000,Punjab,Rice,849,Alluvial,100,2825
4837,2011,Punjab,Bajra,336,Alluvial,58,2481
4838,2002,Punjab,Rice,975,Loamy,118,2925
4839,2012,Punjab,Wheat,520,Loamy,125,3557
4840,2001,Punjab,Bajra,472,Alluvial,55,2147
4841,2015,Punjab,Wheat,666,Loamy,175,3251
4842,2004,Punjab,Wheat,583,Alluvial,176,3204
4843,2007,Punjab,Wheat,626,Loamy,122,3050
4844,2015,Punjab,Bajra,598,Alluvial,55,2243
4845,2017,Punjab,Rice,856,Alluvial,152,2528
4846,2009,Punjab,Wheat,691,Loamy,122,3170
4847,2005,Punjab,Rice,920,Loamy,174,2981
4848,2016,Punjab,Rice,994,Loamy,143,2816
4849,2014,Punjab,Rice,845,Alluvial,109,3097
4850,2001,Punjab,Bajra,375,Alluvial,79,2572
4851,2020,Punjab,Bajra,599,Alluvial,94,1964
4852,2003,Punjab,Rice,997,Loamy,112,2889
4853,2017,Punjab,Bajra,308,Loamy,93,2536
4854,2002,Punjab,Bajra,304,Loamy,72,2921
4855,2000,Punjab,Bajra,534,Loamy,91,2088
4856,2016,Punjab,Wheat,405,Loamy,131,3825
4857,2007,Punjab,Wheat,519,Loamy,160,3944
4858,2004,Punjab,Wheat,433,Loamy,120,3109
4859,2018,Punjab,Wheat,420,Loamy,136,3540
4860,2012,Punjab,Bajra,512,Loamy,80,2932
4861,2003,Punjab,Rice,812,Loamy,129,3047
4862,2012,Punjab,Rice,932,Alluvial,178,2871
4863,2015,Punjab,Wheat,482,Loamy,130,3873
4864,2013,Punjab,Wheat,436,Alluvial,122,2728
4865,2019,Punjab,Wheat,654,Loamy,129,3854
4866,2018,Punjab,Bajra,440,Loamy,97,2358
4867,2016,Punjab,Rice,936,Loamy,171,3119
4868,2014,Punjab,Wheat,425,Alluvial,146,3277
4869,2017,Punjab,Bajra,438,Loamy,74,2027
4870,2016,Punjab,Rice,856,Loamy,106,2892
4871,2017,Punjab,Bajra,432,Alluvial,59,1878
4872,2011,Punjab,Bajra,496,Loamy,63,2431
4873,2017,Punjab,Bajra,469,Loamy,83,2511
4874,2011,Punjab,Bajra,447,Alluvial,68,2413
4875,2002,Punjab,Rice,887,Alluvial,125,2813
4876,2020,Punjab,Rice,935,Alluvial,111,3177
4877,2002,Punjab,Bajra,300,Loamy,57,2457
4878,2017,Punjab,Wheat,567,Loamy,106,3787
4879,2010,Punjab,Rice,815,Loamy,104,3341
4880,2002,Punjab,Bajra,406,Loamy,78,2149
4881,2007,Punjab,Bajra,433,Loamy,64,2388
4882,2005,Punjab,Bajra,398,Alluvial,66,2597
4883,2014,Punjab,Wheat,575,Alluvial,172,3114
4884,2011,Punjab,Wheat,665,Alluvial,150,3270
4885,2012,Punjab,Wheat,602,Loamy,105,3312
4886,2002,Punjab,Rice,947,Loamy,113,3131
4887,2018,Punjab,Wheat,596,Loamy,158,3516
4888,2008,Punjab,Wheat,624,Alluvial,137,3127
4889,2000,Punjab,Wheat,591,Alluvial,129,3023
4890,2012,Punjab,Rice,953,Alluvial,155,3103
4891,2016,Punjab,Bajra,412,Loamy,83,2470
4892,2014,Punjab,Rice,1000,Loamy,157,3364
4893,2005,Punjab,Rice,941,Loamy,153,3129
4894,2006,Punjab,Rice,865,Alluvial,110,2988
4895,2007,Punjab,Wheat,466,Loamy,118,3514
4896,2016,Punjab,Bajra,390,Loamy,95,2242
4897,2015,Punjab,Rice,1000,Loamy,116,3196
4898,2011,Punjab,Wheat,593,Loamy,154,3156
4899,2011,Punjab,Bajra,320,Loamy,78,2551
4900,2001,Punjab,Wheat,509,Loamy,113,3890
4901,2009,Punjab,Bajra,545,Alluvial,67,1870
4902,2013,Punjab,Bajra,305,Loamy,54,2700
4903,2008,Punjab,Wheat,678,Loamy,160,3257
4904,2005,Punjab,Bajra,345,Loamy,96,2056
4905,2007,Punjab,Bajra,386,Alluvial,60,2569
4906,2008,Punjab,Wheat,523,Loamy,136,3587
4907,2018,Punjab,Wheat,549,Loamy,135,3034
4908,2020,Punjab,Rice,954,Loamy,126,2991
4909,2010,Punjab,Bajra,589,Loamy,56,2473
4910,2018,Punjab,Wheat,588,Loamy,152,3380
4911,2008,Punjab,Bajra,361,Alluvial,78,2489
4912,2002,Punjab,Rice,990,Alluvial,152,2600
4913,2012,Punjab,Bajra,342,Loamy,99,2961
4914,2019,Punjab,Wheat,573,Loamy,157,3796
4915,2020,Punjab,Rice,824,Alluvial,159,2772
4916,2007,Punjab,Wheat,635,Loamy,104,3895
4917,2003,Punjab,Wheat,428,Loamy,154,3090
4918,2003,Punjab,Bajra,437,Loamy,62,2260
4919,2003,Punjab,Bajra,318,Loamy,86,2721
4920,2019,Punjab,Wheat,615,Alluvial,173,3137
4921,2020,Punjab,Rice,968,Loamy,143,3466
4922,2015,Punjab,Rice,922,Loamy,104,3128
4923,2008,Punjab,Wheat,569,Loamy,129,3799
4924,2014,Punjab,Bajra,566,Alluvial,100,2600
4925,2013,Punjab,Wheat,666,Loamy,174,3814
4926,2001,Punjab,Bajra,532,Loamy,72,2503
4927,2019,Punjab,Rice,828,Loamy,135,2956
4928,2002,Punjab,Wheat,572,Loamy,158,3096
4929,2014,Punjab,Bajra,333,Alluvial,84,2407
4930,2005,Punjab,Rice,871,Loamy,102,3477
4931,2014,Punjab,Rice,899,Loamy,129,2924
4932,2013,Punjab,Rice,979,Loamy,105,2894
4933,2017,Punjab,Wheat,488,Alluvial,158,2872
4934,2013,Punjab,Wheat,540,Loamy,175,3606
4935,2014,Punjab,Wheat,675,Alluvial,115,2883
4936,2017,Punjab,Bajra,512,Loamy,56,2168
4937,2007,Punjab,Wheat,594,Alluvial,105,3157
4938,2010,Punjab,Wheat,463,Loamy,148,3989
4939,2002,Punjab,Rice,933,Loamy,152,2964
4940,2019,Punjab,Rice,946,Loamy,107,3035
4941,2000,Punjab,Rice,886,Alluvial,116,2636
4942,2016,Punjab,Wheat,430,Loamy,144,3854
4943,2006,Punjab,Rice,951,Loamy,130,3119
4944,2011,Punjab,Wheat,606,Alluvial,159,2711
4945,2006,Punjab,Wheat,578,Loamy,134,3522
4946,2012,Punjab,Rice,972,Loamy,139,3425
4947,2002,Punjab,Wheat,450,Alluvial,170,3429
4948,2016,Punjab,Rice,890,Loamy,125,3164
4949,2018,Punjab,Rice,912,Loamy,144,3304
4950,2012,Punjab,Rice,936,Loamy,141,3424
4951,2019,Punjab,Wheat,683,Loamy,127,3757
4952,2015,Punjab,Wheat,402,Alluvial,106,3122
4953,2017,Punjab,Rice,817,Loamy,139,2852
4954,2020,Punjab,Wheat,528,Loamy,130,3707
4955,2017,Punjab,Bajra,358,Loamy,92,2922
4956,2006,Punjab,Wheat,408,Alluvial,175,3360
4957,2020,Punjab,Wheat,640,Loamy,157,3413
4958,2017,Punjab,Wheat,584,Alluvial,100,3001
4959,2019,Punjab,Wheat,508,Alluvial,152,3108
4960,2019,Punjab,Bajra,473,Alluvial,55,2679
4961,2005,Punjab,Wheat,667,Loamy,133,3837
4962,2000,Punjab,Wheat,456,Loamy,151,3525
4963,2010,Punjab,Rice,924,Loamy,139,3108
4964,2009,Punjab,Wheat,536,Loamy,115,3580
4965,2007,Punjab,Rice,884,Loamy,166,3446
4966,2000,Punjab,Bajra,432,Loamy,64,2464
4967,2013,Punjab,Wheat,551,Loamy,108,3393
4968,2004,Punjab,Bajra,541,Loamy,76,2388
4969,2006,Punjab,Wheat,622,Loamy,124,3056
4970,2016,Punjab,Bajra,549,Loamy,70,2733
4971,2019,Punjab,Bajra,388,Loamy,91,2158
4972,2005,Punjab,Rice,871,Alluvial,125,2850
4973,2008,Punjab,Rice,994,Loamy,123,3396
4974,2014,Punjab,Rice,889,Loamy,168,2960
4975,2005,Punjab,Rice,832,Loamy,140,3199
4976,2001,Punjab,Wheat,668,Alluvial,168,3137
4977,2020,Punjab,Wheat,404,Alluvial,111,2822
4978,2017,Punjab,Bajra,493,Loamy,87,2790
4979,2014,Punjab,Bajra,498,Loamy,88,2940
4980,2013,Punjab,Bajra,566,Loamy,54,2537
4981,2014,Punjab,Rice,984,Loamy,180,3321
4982,2002,Punjab,Bajra,478,Loamy,50,2502
4983,2002,Punjab,Rice,952,Loamy,148,3217
4984,2006,Punjab,Wheat,603,Alluvial,165,3359
4985,2014,Punjab,Wheat,541,Loamy,105,3490
4986,2002,Punjab,Rice,926,Alluvial,157,2596
4987,2019,Punjab,Bajra,362,Alluvial,54,1982
4988,2008,Punjab,Rice,978,Loamy,177,3426
4989,2013,Punjab,Wheat,636,Alluvial,102,3368
4990,2012,Punjab,Rice,878,Alluvial,124,3087
4991,2004,Punjab,Rice,956,Loamy,159,3102
4992,2002,Punjab,Rice,978,Alluvial,153,3165
4993,2006,Punjab,Bajra,381,Loamy,54,2032
4994,2020,Punjab,Rice,825,Loamy,141,2897
4995,2019,Punjab,Wheat,464,Alluvial,155,3012
4996,2008,Punjab,Wheat,461,Alluvial,102,3229
4997,2013,Punjab,Wheat,596,Alluvial,162,2850
4998,2020,Punjab,Bajra,432,Loamy,70,2837
4999,2020,Punjab,Wheat,664,Loamy,154,3363
5000,2006,Punjab,Wheat,441,Loamy,163,3000
5001,2005,Punjab,Wheat,506,Loamy,121,3540
5002,2006,Punjab,Rice,877,Loamy,165,3314
5003,2001,Punjab,Wheat,496,Loamy,152,3258
5004,2002,Punjab,Bajra,385,Loamy,71,2158
5005,2005,Punjab,Wheat,499,Loamy,123,3171
5006,2004,Punjab,Bajra,407,Alluvial,70,1882
5007,2020,Punjab,Wheat,616,Alluvial,176,2912
5008,2010,Punjab,Wheat,674,Loamy,138,3767
5009,2012,Punjab,Bajra,306,Loamy,96,2925
5010,2010,Punjab,Bajra,305,Alluvial,87,2213
5011,2003,Punjab,Bajra,498,Loamy,97,2792
5012,2012,Punjab,Bajra,574,Loamy,96,2057
5013,2012,Punjab,Wheat,547,Loamy,105,3021
5014,2005,Punjab,Rice,898,Alluvial,141,2819
5015,2015,Punjab,Rice,866,Loamy,158,2912
5016,2019,Punjab,Wheat,492,Loamy,134,3830
5017,2006,Punjab,Wheat,475,Alluvial,163,3156
5018,2018,Punjab,Bajra,402,Loamy,73,2194
5019,2013,Punjab,Rice,1000,Loamy,120,3361
5020,2017,Punjab,Rice,960,Loamy,139,3078
5021,2005,Punjab,Bajra,367,Loamy,88,2855
5022,2017,Punjab,Wheat,686,Loamy,152,3644
5023,2012,Punjab,Wheat,545,Loamy,175,3025
5024,2001,Punjab,Rice,836,Loamy,144,3066
5025,2019,Punjab,Wheat,465,Loamy,122,3311
5026,2016,Punjab,Bajra,407,Loamy,66,2061
5027,2009,Punjab,Wheat,558,Loamy,128,3788
5028,2000,Punjab,Rice,813,Alluvial,149,2574
5029,2016,Punjab,Wheat,684,Alluvial,169,3397
5030,2008,Punjab,Bajra,331,Loamy,79,2734
5031,2018,Punjab,Wheat,628,Loamy,171,3584
5032,2009,Punjab,Wheat,415,Loamy,141,3852
5033,2007,Punjab,Bajra,397,Alluvial,70,1889
5034,2018,Punjab,Wheat,670,Alluvial,147,2957
5035,2005,Punjab,Wheat,420,Loamy,119,3805
5036,2005,Punjab,Rice,836,Loamy,153,3218
5037,2009,Punjab,Bajra,398,Alluvial,60,2079
5038,2004,Punjab,Rice,909,Alluvial,130,2812
5039,2008,Punjab,Rice,969,Loamy,148,3043
5040,2007,Punjab,Bajra,581,Loamy,64,2544
5041,2011,Punjab,Rice,835,Loamy,118,3139
5042,2009,Punjab,Wheat,667,Loamy,106,3781
5043,2013,Punjab,Rice,807,Loamy,167,3256
5044,2013,Punjab,Wheat,457,Alluvial,155,2789
5045,2014,Punjab,Wheat,492,Loamy,130,3476
5046,2003,Punjab,Bajra,594,Alluvial,92,2213
5047,2016,Punjab,Rice,992,Loamy,130,3077
5048,2001,Punjab,Rice,971,Loamy,118,3058
5049,2001,Punjab,Bajra,483,Loamy,75,2699
5050,2000,Punjab,Bajra,579,Alluvial,69,2457
5051,2009,Punjab,Bajra,341,Loamy,76,2640
5052,2016,Punjab,Rice,999,Alluvial,160,2997
5053,2013,Punjab,Wheat,627,Loamy,168,3522
5054,2019,Punjab,Bajra,491,Loamy,75,2899
5055,2010,Punjab,Bajra,373,Alluvial,75,2678
5056,2020,Punjab,Rice,892,Loamy,125,3311
5057,2003,Punjab,Bajra,333,Loamy,77,2256
5058,2015,Punjab,Wheat,577,Alluvial,178,3073
5059,2005,Punjab,Wheat,433,Loamy,110,3743
5060,2003,Punjab,Rice,948,Alluvial,160,2721
5061,2019,Punjab,Rice,826,Loamy,171,2844
5062,2010,Punjab,Bajra,413,Loamy,91,2262
5063,2012,Punjab,Wheat,582,Alluvial,110,3234
5064,2018,Punjab,Wheat,649,Loamy,178,3603
5065,2017,Punjab,Rice,826,Alluvial,115,2503
5066,2010,Punjab,Rice,839,Loamy,130,3216
5067,2013,Punjab,Bajra,550,Loamy,64,2696
5068,2009,Punjab,Rice,952,Loamy,161,3169
5069,2017,Punjab,Bajra,450,Loamy,59,2727
5070,2012,Punjab,Bajra,519,Loamy,81,2207
5071,2010,Punjab,Rice,948,Loamy,123,3356
5072,2014,Punjab,Rice,991,Loamy,178,2920
5073,2009,Punjab,Rice,874,Loamy,131,3004
5074,2012,Punjab,Rice,897,Loamy,103,2918
5075,2018,Punjab,Rice,936,Loamy,144,3272
5076,2011,Punjab,Bajra,525,Alluvial,85,2377
5077,2018,Punjab,Wheat,653,Loamy,122,3671
5078,2009,Punjab,Bajra,391,Alluvial,78,1851
5079,2010,Punjab,Rice,808,Loamy,100,3155
5080,2002,Punjab,Bajra,465,Loamy,73,2846
5081,2014,Punjab,Rice,842,Loamy,156,3337
5082,2003,Punjab,Bajra,357,Alluvial,71,2350
5083,2012,Punjab,Wheat,551,Alluvial,119,2892
5084,2014,Punjab,Rice,800,Loamy,125,2884
5085,2008,Punjab,Wheat,485,Loamy,131,3095
5086,2020,Punjab,Wheat,566,Loamy,177,3739
5087,2020,Punjab,Bajra,597,Alluvial,97,1931
5088,2007,Punjab,Bajra,333,Loamy,53,2075
5089,2005,Punjab,Rice,821,Alluvial,132,2754
5090,2005,Punjab,Bajra,354,Loamy,93,2545
5091,2017,Punjab,Wheat,408,Loamy,138,3234
5092,2011,Punjab,Wheat,532,Alluvial,163,2984
5093,2009,Punjab,Rice,835,Loamy,162,3157
5094,2001,Punjab,Bajra,540,Alluvial,87,2017
5095,2011,Punjab,Rice,814,Loamy,143,3474
5096,2004,Punjab,Bajra,478,Alluvial,79,2103
5097,2011,Punjab,Rice,810,Loamy,141,2813
5098,2001,Punjab,Wheat,640,Loamy,133,3370
5099,2020,Punjab,Bajra,436,Alluvial,65,1951
5100,2003,Punjab,Rice,906,Alluvial,121,3183
5101,2014,Punjab,Rice,873,Alluvial,114,2833
5102,2020,Punjab,Wheat,470,Loamy,151,3223
5103,2016,Punjab,Rice,911,Loamy,130,2817
5104,2019,Punjab,Bajra,511,Loamy,99,2066
5105,2007,Punjab,Rice,848,Loamy,172,3394
5106,2009,Punjab,Bajra,469,Loamy,93,2124
5107,2001,Punjab,Rice,871,Alluvial,145,2701
5108,2002,Punjab,Rice,909,Alluvial,104,2640
5109,2016,Punjab,Wheat,670,Loamy,146,3714
5110,2006,Punjab,Rice,971,Loamy,156,2917
5111,2007,Punjab,Wheat,609,Loamy,138,3912
5112,2013,Punjab,Wheat,672,Loamy,102,3833
5113,2018,Punjab,Wheat,599,Loamy,152,3048
5114,2004,Punjab,Bajra,537,Alluvial,74,1936
5115,2003,Punjab,Bajra,484,Loamy,56,2495
5116,2017,Punjab,Bajra,419,Loamy,93,2657
5117,2006,Punjab,Wheat,684,Loamy,129,3520
5118,2017,Punjab,Bajra,506,Loamy,70,2712
5119,2004,Punjab,Wheat,614,Alluvial,139,3066
5120,2011,Punjab,Bajra,358,Alluvial,59,2685
5121,2004,Punjab,Wheat,509,Alluvial,138,2999
5122,2018,Punjab,Rice,851,Loamy,112,2900
5123,2007,Punjab,Wheat,651,Loamy,109,3058
5124,2015,Punjab,Bajra,546,Alluvial,73,2501
5125,2002,Punjab,Bajra,373,Loamy,77,2835
5126,2017,Punjab,Bajra,375,Loamy,55,2825
5127,2016,Punjab,Wheat,698,Loamy,131,3664
5128,2005,Punjab,Wheat,610,Loamy,129,3820
5129,2018,Punjab,Rice,893,Loamy,147,3180
5130,2009,Punjab,Wheat,487,Loamy,174,3055
5131,2010,Punjab,Wheat,517,Alluvial,123,2901
5132,2009,Punjab,Wheat,654,Loamy,124,3030
5133,2012,Punjab,Wheat,647,Alluvial,108,2724
5134,2009,Punjab,Rice,893,Loamy,177,3186
5135,2020,Punjab,Bajra,591,Loamy,100,2703
5136,2012,Punjab,Rice,886,Loamy,157,3102
5137,2010,Punjab,Rice,909,Loamy,102,3273
5138,2014,Punjab,Wheat,646,Alluvial,174,2947
5139,2017,Punjab,Bajra,594,Loamy,56,2679
5140,2009,Punjab,Bajra,565,Alluvial,58,2143
5141,2019,Punjab,Wheat,516,Loamy,101,3972
5142,2004,Punjab,Bajra,301,Loamy,51,2748
5143,2015,Punjab,Rice,981,Loamy,107,3481
5144,2003,Punjab,Rice,992,Loamy,169,3209
5145,2017,Punjab,Rice,833,Loamy,163,3163
5146,2013,Punjab,Bajra,554,Alluvial,86,2531
5147,2019,Punjab,Wheat,527,Loamy,136,3619
5148,2008,Punjab,Bajra,592,Loamy,72,2575
5149,2018,Punjab,Bajra,372,Loamy,87,2125
5150,2015,Punjab,Rice,866,Loamy,122,3200
5151,2006,Punjab,Rice,977,Loamy,164,3051
5152,2013,Punjab,Bajra,495,Loamy,71,2943
5153,2002,Punjab,Rice,861,Loamy,155,2970
5154,2020,Punjab,Rice,858,Loamy,179,2923
5155,2013,Punjab,Wheat,537,Loamy,173,3792
5156,2017,Punjab,Rice,861,Loamy,131,3165
5157,2002,Punjab,Rice,981,Alluvial,176,2974
5158,2008,Punjab,Bajra,326,Alluvial,74,1817
5159,2009,Punjab,Bajra,326,Loamy,63,2681
5160,2009,Punjab,Bajra,555,Loamy,85,2899
5161,2018,Punjab,Rice,968,Alluvial,124,2630
5162,2017,Punjab,Rice,827,Loamy,107,2815
5163,2006,Punjab,Rice,848,Loamy,164,3227
5164,2017,Punjab,Bajra,305,Alluvial,99,2610
5165,2007,Punjab,Wheat,611,Alluvial,175,2750
5166,2002,Punjab,Wheat,492,Alluvial,176,3202
5167,2004,Punjab,Wheat,673,Loamy,125,3592
5168,2011,Punjab,Wheat,509,Loamy,146,3790
5169,2014,Punjab,Rice,934,Loamy,132,2938
5170,2015,Punjab,Wheat,678,Loamy,151,3440
5171,2005,Punjab,Wheat,566,Loamy,130,3280
5172,2003,Punjab,Bajra,343,Loamy,68,2106
5173,2002,Punjab,Wheat,408,Alluvial,134,2820
5174,2017,Punjab,Bajra,439,Loamy,79,2841
5175,2004,Punjab,Rice,953,Loamy,166,3272
5176,2020,Punjab,Rice,836,Loamy,102,3133
5177,2015,Punjab,Wheat,523,Alluvial,178,2718
5178,2014,Punjab,Bajra,352,Loamy,88,2962
5179,2013,Punjab,Wheat,665,Loamy,123,3817
5180,2005,Punjab,Bajra,480,Loamy,91,2144
5181,2012,Punjab,Rice,916,Loamy,108,3139
5182,2009,Punjab,Rice,854,Loamy,149,3354
5183,2003,Punjab,Bajra,419,Loamy,93,2197
5184,2014,Punjab,Bajra,316,Alluvial,79,2008
5185,2005,Punjab,Wheat,403,Alluvial,153,3430
5186,2016,Punjab,Bajra,485,Loamy,96,2172
5187,2011,Punjab,Wheat,673,Loamy,115,3479
5188,2019,Punjab,Bajra,346,Loamy,86,2012
5189,2016,Punjab,Wheat,403,Loamy,110,3617
5190,2011,Punjab,Wheat,672,Alluvial,111,3213
5191,2014,Punjab,Wheat,441,Loamy,137,3878
5192,2019,Punjab,Bajra,350,Loamy,84,2549
5193,2000,Punjab,Bajra,389,Loamy,96,2125
5194,2020,Punjab,Rice,973,Loamy,112,3359
5195,2020,Punjab,Wheat,536,Loamy,161,3905
5196,2005,Punjab,Wheat,641,Loamy,126,3316
5197,2018,Punjab,Bajra,467,Loamy,72,2850
5198,2012,Punjab,Bajra,455,Alluvial,71,2325
5199,2018,Punjab,Wheat,660,Loamy,137,3743
5200,2002,Punjab,Wheat,469,Loamy,143,3360
5201,2016,Punjab,Wheat,527,Loamy,118,3528
5202,2018,Punjab,Wheat,648,Loamy,142,3349
5203,2016,Punjab,Wheat,451,Loamy,170,3254
5204,2020,Punjab,Bajra,439,Alluvial,85,2670
5205,2001,Punjab,Wheat,470,Loamy,112,3697
5206,2010,Punjab,Wheat,666,Loamy,113,3469
5207,2009,Punjab,Wheat,672,Loamy,115,3980
5208,2013,Punjab,Bajra,493,Loamy,74,2557
5209,2014,Punjab,Wheat,476,Loamy,163,3367
5210,2007,Punjab,Bajra,555,Alluvial,54,2022
5211,2010,Punjab,Rice,801,Loamy,120,2842
5212,2010,Punjab,Wheat,480,Loamy,178,3083
5213,2018,Punjab,Bajra,405,Loamy,79,2549
5214,2000,Punjab,Bajra,403,Loamy,98,2546
5215,2018,Punjab,Wheat,664,Loamy,145,3020
5216,2015,Punjab,Rice,953,Loamy,154,2943
5217,2001,Punjab,Rice,973,Loamy,103,3318
5218,2008,Punjab,Wheat,534,Loamy,134,3894
5219,2017,Punjab,Wheat,494,Loamy,105,3776
5220,2014,Punjab,Rice,871,Alluvial,128,2709
5221,2010,Punjab,Wheat,607,Alluvial,110,3136
5222,2018,Punjab,Wheat,592,Loamy,159,3348
5223,2016,Punjab,Wheat,699,Loamy,180,3122
5224,2010,Punjab,Rice,816,Loamy,172,3368
5225,2006,Punjab,Bajra,446,Loamy,92,2764
5226,2015,Punjab,Wheat,575,Loamy,100,3511
5227,2001,Punjab,Rice,805,Loamy,139,3177
5228,2004,Punjab,Bajra,533,Alluvial,87,2617
5229,2009,Punjab,Bajra,334,Loamy,93,2035
5230,2009,Punjab,Bajra,584,Loamy,66,2910
5231,2006,Punjab,Bajra,540,Alluvial,83,2387
5232,2004,Punjab,Wheat,416,Alluvial,121,3443
5233,2019,Punjab,Rice,887,Alluvial,153,2850
5234,2013,Punjab,Bajra,355,Loamy,77,2323
5235,2017,Punjab,Rice,890,Loamy,156,2870
5236,2020,Punjab,Wheat,646,Loamy,120,3000
5237,2003,Punjab,Bajra,382,Loamy,100,2082
5238,2002,Punjab,Rice,991,Loamy,125,3045
5239,2004,Punjab,Bajra,469,Loamy,50,2591
5240,2015,Punjab,Bajra,409,Loamy,86,2180
5241,2002,Punjab,Rice,923,Loamy,107,3196
5242,2017,Punjab,Wheat,579,Loamy,152,3901
